상품명,URL,상품이미지,최저가,최고가,가격추이,상세정보
미미월드 마우스로 클릭 뽀로로 코딩컴퓨터 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21330506&cate=16249262,https://img.danawa.com/prod_img/500000/506/330/img/21330506_1.jpg?shrink=330:*&_v=20250415123138,86390,89970,"{""1"": [{""label"": ""25.10.21"", ""price"": 84660}, {""label"": ""25.10.28"", ""price"": 85350}, {""label"": ""25.11.04"", ""price"": 78220}, {""label"": ""25.11.11"", ""price"": 80670}, {""label"": ""현재"", ""price"": 86390}], ""3"": [{""label"": ""08.26"", ""price"": 85170}, {""label"": ""09.02"", ""price"": 80352}, {""label"": ""09.09"", ""price"": 80350}, {""label"": ""09.16"", ""price"": 84570}, {""label"": ""09.23"", ""price"": 85560}, {""label"": ""09.30"", ""price"": 83570}, {""label"": ""10.07"", ""price"": 79280}, {""label"": ""10.14"", ""price"": 83740}, {""label"": ""10.21"", ""price"": 84660}, {""label"": ""10.28"", ""price"": 85350}, {""label"": ""11.04"", ""price"": 78220}, {""label"": ""11.11"", ""price"": 80670}, {""label"": ""현재"", ""price"": 86390}], ""6"": [{""label"": ""25.06"", ""price"": 73736}, {""label"": ""25.07"", ""price"": 80090}, {""label"": ""25.08"", ""price"": 80440}, {""label"": ""25.09"", ""price"": 80350}, {""label"": ""25.10"", ""price"": 79280}, {""label"": ""25.11"", ""price"": 78220}, {""label"": ""현재"", ""price"": 86390}], ""12"": [{""label"": ""24.12"", ""price"": 71390}, {""label"": ""25.01"", ""price"": 59940}, {""label"": ""25.02"", ""price"": 64800}, {""label"": ""25.03"", ""price"": 64410}, {""label"": ""25.04"", ""price"": 65940}, {""label"": ""25.05"", ""price"": 65940}, {""label"": ""25.06"", ""price"": 73736}, {""label"": ""25.07"", ""price"": 80090}, {""label"": ""25.08"", ""price"": 80440}, {""label"": ""25.09"", ""price"": 80350}, {""label"": ""25.10"", ""price"": 79280}, {""label"": ""25.11"", ""price"": 78220}, {""label"": ""현재"", ""price"": 86390}], ""24"": [{""label"": ""24.01"", ""price"": 66500}, {""label"": ""24.02"", ""price"": 68500}, {""label"": ""24.03"", ""price"": 73510}, {""label"": ""24.04"", ""price"": 73740}, {""label"": ""24.05"", ""price"": 75740}, {""label"": ""24.06"", ""price"": 76220}, {""label"": ""24.07"", ""price"": 70310}, {""label"": ""24.08"", ""price"": 76410}, {""label"": ""24.09"", ""price"": 73344}, {""label"": ""24.10"", ""price"": 72550}, {""label"": ""24.11"", ""price"": 70380}, {""label"": ""24.12"", ""price"": 59940}, {""label"": ""25.01"", ""price"": 59940}, {""label"": ""25.02"", ""price"": 64800}, {""label"": ""25.03"", ""price"": 64410}, {""label"": ""25.04"", ""price"": 65940}, {""label"": ""25.05"", ""price"": 65940}, {""label"": ""25.06"", ""price"": 73736}, {""label"": ""25.07"", ""price"": 80090}, {""label"": ""25.08"", ""price"": 80440}, {""label"": ""25.09"", ""price"": 80350}, {""label"": ""25.10"", ""price"": 79280}, {""label"": ""25.11"", ""price"": 78220}, {""label"": ""현재"", ""price"": 86390}]}","제조회사:미미월드/3~4세부터:37개월이상/구성:뽀로로 코딩 컴퓨터 + 뽀로로 마우스, 마우스 패드, 사용설명서/인증:적합성평가인증,안전확인인증/등록년월일:2019년 11월"
에스에이엠지엔터테인먼트 최강공룡 미니특공대 다이노엠페러 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=99292943&cate=16249262,https://img.danawa.com/prod_img/500000/943/292/img/99292943_1.jpg?shrink=330:*&_v=20251020173134,111870,159000,"{""1"": [{""label"": ""25.10.21"", ""price"": 149860}, {""label"": ""25.10.28"", ""price"": 148520}, {""label"": ""25.11.04"", ""price"": 139920}, {""label"": ""25.11.11"", ""price"": 139920}, {""label"": ""현재"", ""price"": 111870}]}","제조회사:에스에이엠지엔터테인먼트/3~4세부터:36개월이상/변형(↔):로봇↔공룡/구성:다이노엠페러,엠페러소드,엠페러코인,설명서,박스/인증:적합성평가인증,안전확인인증/등록년월일:2025년 10월"
에스에이엠지엔터테인먼트 캐치티니핑 프린세스 팩트 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=99292940&cate=16249262,https://img.danawa.com/prod_img/500000/940/292/img/99292940_1.jpg?shrink=330:*&_v=20251101060849,97910,100610,"{""1"": [{""label"": ""25.10.28"", ""price"": 185900}, {""label"": ""25.11.04"", ""price"": 89790}, {""label"": ""25.11.11"", ""price"": 90090}, {""label"": ""현재"", ""price"": 97910}]}","제조회사:에스에이엠지엔터테인먼트/3~4세부터:3세이상/구성:프린세스팩트,브러쉬터치펜,미니터치펜,미니컴팩트4종,볼체인4개,아름핑컴팩트,뽀니핑컴팩트,보관함종이상자,설명서,보관함상자/인증:적합성평가인증,안전확인인증/등록년월일:2025년 10월"
에스에이엠지엔터테인먼트 최강공룡 미니특공대 렉스카이저 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=79137173&cate=16249262,https://img.danawa.com/prod_img/500000/173/137/img/79137173_1.jpg?shrink=330:*&_v=20250415185942,64310,88629,"{""1"": [{""label"": ""25.10.21"", ""price"": 69900}, {""label"": ""25.10.28"", ""price"": 67110}, {""label"": ""25.11.04"", ""price"": 69900}, {""label"": ""25.11.11"", ""price"": 64310}, {""label"": ""현재"", ""price"": 64310}], ""3"": [{""label"": ""08.26"", ""price"": 64310}, {""label"": ""09.02"", ""price"": 64310}, {""label"": ""09.09"", ""price"": 64310}, {""label"": ""09.16"", ""price"": 64310}, {""label"": ""09.23"", ""price"": 62310}, {""label"": ""09.30"", ""price"": 62310}, {""label"": ""10.07"", ""price"": 69900}, {""label"": ""10.14"", ""price"": 69900}, {""label"": ""10.21"", ""price"": 69900}, {""label"": ""10.28"", ""price"": 67110}, {""label"": ""11.04"", ""price"": 69900}, {""label"": ""11.11"", ""price"": 64310}, {""label"": ""현재"", ""price"": 64310}], ""6"": [{""label"": ""25.06"", ""price"": 74422}, {""label"": ""25.07"", ""price"": 75930}, {""label"": ""25.08"", ""price"": 62805}, {""label"": ""25.09"", ""price"": 62310}, {""label"": ""25.10"", ""price"": 67110}, {""label"": ""25.11"", ""price"": 64310}, {""label"": ""현재"", ""price"": 64310}], ""12"": [{""label"": ""25.04"", ""price"": 79800}, {""label"": ""25.05"", ""price"": 76680}, {""label"": ""25.06"", ""price"": 74422}, {""label"": ""25.07"", ""price"": 75930}, {""label"": ""25.08"", ""price"": 62805}, {""label"": ""25.09"", ""price"": 62310}, {""label"": ""25.10"", ""price"": 67110}, {""label"": ""25.11"", ""price"": 64310}, {""label"": ""현재"", ""price"": 64310}]}","제조회사:에스에이엠지엔터테인먼트/3~4세부터:36개월이상/변형(↔):로봇↔자동차/구성:렉스카이저,렉스블레이드,그레이트코인,설명서/인증:적합성평가인증,안전확인인증/등록년월일:2025년 04월"
초이락컨텐츠컴퍼니 헬로카봇 펜타스톰X 빅큐브 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=31362971&cate=16249262,https://img.danawa.com/prod_img/500000/971/362/img/31362971_1.jpg?shrink=330:*&_v=20250415185856,145820,156590,"{""1"": [{""label"": ""25.10.21"", ""price"": 138740}, {""label"": ""25.10.28"", ""price"": 143810}, {""label"": ""25.11.04"", ""price"": 130560}, {""label"": ""25.11.11"", ""price"": 145464}, {""label"": ""현재"", ""price"": 145820}], ""3"": [{""label"": ""08.26"", ""price"": 118800}, {""label"": ""09.02"", ""price"": 118500}, {""label"": ""09.09"", ""price"": 119000}, {""label"": ""09.16"", ""price"": 128540}, {""label"": ""09.23"", ""price"": 132100}, {""label"": ""09.30"", ""price"": 142500}, {""label"": ""10.07"", ""price"": 135600}, {""label"": ""10.14"", ""price"": 138740}, {""label"": ""10.21"", ""price"": 138740}, {""label"": ""10.28"", ""price"": 143810}, {""label"": ""11.04"", ""price"": 130560}, {""label"": ""11.11"", ""price"": 145464}, {""label"": ""현재"", ""price"": 145820}], ""6"": [{""label"": ""25.06"", ""price"": 100990}, {""label"": ""25.07"", ""price"": 110080}, {""label"": ""25.08"", ""price"": 118800}, {""label"": ""25.09"", ""price"": 118500}, {""label"": ""25.10"", ""price"": 135600}, {""label"": ""25.11"", ""price"": 130560}, {""label"": ""현재"", ""price"": 145820}], ""12"": [{""label"": ""24.12"", ""price"": 137050}, {""label"": ""25.01"", ""price"": 152420}, {""label"": ""25.02"", ""price"": 154690}, {""label"": ""25.03"", ""price"": 158940}, {""label"": ""25.04"", ""price"": 130135}, {""label"": ""25.05"", ""price"": 130135}, {""label"": ""25.06"", ""price"": 100990}, {""label"": ""25.07"", ""price"": 110080}, {""label"": ""25.08"", ""price"": 118800}, {""label"": ""25.09"", ""price"": 118500}, {""label"": ""25.10"", ""price"": 135600}, {""label"": ""25.11"", ""price"": 130560}, {""label"": ""현재"", ""price"": 145820}], ""24"": [{""label"": ""24.01"", ""price"": 136170}, {""label"": ""24.02"", ""price"": 137613}, {""label"": ""24.03"", ""price"": 138931}, {""label"": ""24.04"", ""price"": 135903}, {""label"": ""24.05"", ""price"": 134650}, {""label"": ""24.06"", ""price"": 99460}, {""label"": ""24.07"", ""price"": 122010}, {""label"": ""24.08"", ""price"": 122010}, {""label"": ""24.09"", ""price"": 134170}, {""label"": ""24.10"", ""price"": 148390}, {""label"": ""24.11"", ""price"": 145100}, {""label"": ""24.12"", ""price"": 137050}, {""label"": ""25.01"", ""price"": 152420}, {""label"": ""25.02"", ""price"": 154690}, {""label"": ""25.03"", ""price"": 158940}, {""label"": ""25.04"", ""price"": 130135}, {""label"": ""25.05"", ""price"": 130135}, {""label"": ""25.06"", ""price"": 100990}, {""label"": ""25.07"", ""price"": 110080}, {""label"": ""25.08"", ""price"": 118800}, {""label"": ""25.09"", ""price"": 118500}, {""label"": ""25.10"", ""price"": 135600}, {""label"": ""25.11"", ""price"": 130560}, {""label"": ""현재"", ""price"": 145820}]}","제조회사:초이락컨텐츠컴퍼니/3~4세부터:37개월이상/변형(↔):로봇↔자동차/구성:스톰X,무기,방패,프론폴리스X,무기,에이스레스큐X,무기,스카이SWAT,무기,미사일런처2개,댄디앰뷸런스X,무기,X큐브팩,빅큐브,설명서3장/인증:적합성평가인증,안전확인인증/등록년월일:2023년 12월"
에스에이엠지엔터테인먼트 티니핑 프린세스 하우스 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=99843968&cate=16249262,https://img.danawa.com/prod_img/500000/968/843/img/99843968_1.jpg?shrink=330:*&_v=20251101045844,74990,79900,"{""1"": [{""label"": ""25.11.04"", ""price"": 65010}, {""label"": ""25.11.11"", ""price"": 65010}, {""label"": ""현재"", ""price"": 74990}]}","제조회사:에스에이엠지엔터테인먼트/3~4세부터:3세이상/구성:프린세스하우스,하츄핑피규어,반지,오픈카,테라스,소파,수영장,로열핑침대,꾸미기스티커,피아노,책장,보관함,슬라이드,화장대,샤워기,미니소파,테이블,하우스사다리,욕조,협탁,썬베드,오븐트레이,플라밍고튜브,샴푸/린스,미니테이블,이젤,튜브,컵2개,크로와상,케이크/인증:적합성평가인증,안전확인인증/등록년월일:2025년 10월"
오로라월드 슈팅스타 캐치티니핑 셀레스티얼 캐슬 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=75859493&cate=16249262,https://img.danawa.com/prod_img/500000/493/859/img/75859493_1.jpg?shrink=330:*&_v=20250415190938,75890,85270,"{""1"": [{""label"": ""25.10.21"", ""price"": 73630}, {""label"": ""25.10.28"", ""price"": 72760}, {""label"": ""25.11.04"", ""price"": 71310}, {""label"": ""25.11.11"", ""price"": 70820}, {""label"": ""현재"", ""price"": 75890}], ""3"": [{""label"": ""08.26"", ""price"": 70600}, {""label"": ""09.02"", ""price"": 62460}, {""label"": ""09.09"", ""price"": 66230}, {""label"": ""09.16"", ""price"": 75410}, {""label"": ""09.23"", ""price"": 69910}, {""label"": ""09.30"", ""price"": 71900}, {""label"": ""10.07"", ""price"": 65900}, {""label"": ""10.14"", ""price"": 69900}, {""label"": ""10.21"", ""price"": 73630}, {""label"": ""10.28"", ""price"": 72760}, {""label"": ""11.04"", ""price"": 71310}, {""label"": ""11.11"", ""price"": 70820}, {""label"": ""현재"", ""price"": 75890}], ""6"": [{""label"": ""25.06"", ""price"": 70000}, {""label"": ""25.07"", ""price"": 65000}, {""label"": ""25.08"", ""price"": 70600}, {""label"": ""25.09"", ""price"": 62460}, {""label"": ""25.10"", ""price"": 65900}, {""label"": ""25.11"", ""price"": 70820}, {""label"": ""현재"", ""price"": 75890}], ""12"": [{""label"": ""25.02"", ""price"": 78500}, {""label"": ""25.03"", ""price"": 74900}, {""label"": ""25.04"", ""price"": 61530}, {""label"": ""25.05"", ""price"": 71980}, {""label"": ""25.06"", ""price"": 70000}, {""label"": ""25.07"", ""price"": 65000}, {""label"": ""25.08"", ""price"": 70600}, {""label"": ""25.09"", ""price"": 62460}, {""label"": ""25.10"", ""price"": 65900}, {""label"": ""25.11"", ""price"": 70820}, {""label"": ""현재"", ""price"": 75890}]}","제조회사:오로라월드/3~4세부터:37개월이상/인증:적합성평가인증,안전확인인증/등록년월일:2025년 02월"
원더키드 즐거운 뽀로로 하우스 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21244964&cate=16249262,https://img.danawa.com/prod_img/500000/964/244/img/21244964_1.jpg?shrink=330:*&_v=20250417092425,107450,182670,"{""1"": [{""label"": ""25.10.21"", ""price"": 102500}, {""label"": ""25.10.28"", ""price"": 104990}, {""label"": ""25.11.04"", ""price"": 101850}, {""label"": ""25.11.11"", ""price"": 107210}, {""label"": ""현재"", ""price"": 107450}], ""3"": [{""label"": ""08.26"", ""price"": 106240}, {""label"": ""09.02"", ""price"": 106240}, {""label"": ""09.09"", ""price"": 106240}, {""label"": ""09.16"", ""price"": 106240}, {""label"": ""09.23"", ""price"": 108750}, {""label"": ""09.30"", ""price"": 107300}, {""label"": ""10.07"", ""price"": 101250}, {""label"": ""10.14"", ""price"": 104990}, {""label"": ""10.21"", ""price"": 102500}, {""label"": ""10.28"", ""price"": 104990}, {""label"": ""11.04"", ""price"": 101850}, {""label"": ""11.11"", ""price"": 107210}, {""label"": ""현재"", ""price"": 107450}], ""6"": [{""label"": ""25.06"", ""price"": 107300}, {""label"": ""25.07"", ""price"": 106240}, {""label"": ""25.08"", ""price"": 106240}, {""label"": ""25.09"", ""price"": 106240}, {""label"": ""25.10"", ""price"": 101250}, {""label"": ""25.11"", ""price"": 101850}, {""label"": ""현재"", ""price"": 107450}], ""12"": [{""label"": ""24.12"", ""price"": 93070}, {""label"": ""25.01"", ""price"": 96140}, {""label"": ""25.02"", ""price"": 95700}, {""label"": ""25.03"", ""price"": 105800}, {""label"": ""25.04"", ""price"": 102520}, {""label"": ""25.05"", ""price"": 100000}, {""label"": ""25.06"", ""price"": 107300}, {""label"": ""25.07"", ""price"": 106240}, {""label"": ""25.08"", ""price"": 106240}, {""label"": ""25.09"", ""price"": 106240}, {""label"": ""25.10"", ""price"": 101250}, {""label"": ""25.11"", ""price"": 101850}, {""label"": ""현재"", ""price"": 107450}], ""24"": [{""label"": ""24.01"", ""price"": 80900}, {""label"": ""24.02"", ""price"": 80720}, {""label"": ""24.03"", ""price"": 81670}, {""label"": ""24.04"", ""price"": 81100}, {""label"": ""24.05"", ""price"": 80650}, {""label"": ""24.06"", ""price"": 80340}, {""label"": ""24.07"", ""price"": 79480}, {""label"": ""24.08"", ""price"": 78879}, {""label"": ""24.09"", ""price"": 90729}, {""label"": ""24.10"", ""price"": 90729}, {""label"": ""24.11"", ""price"": 93000}, {""label"": ""24.12"", ""price"": 93070}, {""label"": ""25.01"", ""price"": 96140}, {""label"": ""25.02"", ""price"": 95700}, {""label"": ""25.03"", ""price"": 105800}, {""label"": ""25.04"", ""price"": 102520}, {""label"": ""25.05"", ""price"": 100000}, {""label"": ""25.06"", ""price"": 107300}, {""label"": ""25.07"", ""price"": 106240}, {""label"": ""25.08"", ""price"": 106240}, {""label"": ""25.09"", ""price"": 106240}, {""label"": ""25.10"", ""price"": 101250}, {""label"": ""25.11"", ""price"": 101850}, {""label"": ""현재"", ""price"": 107450}]}","제조회사:원더키드/3~4세부터:3세이상/구성:뽀로로하우스,뽀로로와친구들,옷장,침대,냉장고,책상,피아노,쇼파,욕조,싱크대,가스오븐,미끄럼틀,사다리,식탁,시소,스티커1,스티커2,놀이판/인증:적합성평가인증,안전확인인증/등록년월일:2012년 11월"
대원미디어 유희왕카드 부스터팩 1탄 푸른눈의 백룡의 전설 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21330665&cate=16249262,https://img.danawa.com/prod_img/500000/665/330/img/21330665_1.jpg?shrink=330:*&_v=20250415190213,22990,32000,"{""1"": [{""label"": ""25.10.21"", ""price"": 11500}, {""label"": ""25.10.28"", ""price"": 20000}, {""label"": ""25.11.04"", ""price"": 20000}, {""label"": ""25.11.11"", ""price"": 20000}, {""label"": ""현재"", ""price"": 22990}], ""3"": [{""label"": ""08.26"", ""price"": 11640}, {""label"": ""09.02"", ""price"": 11640}, {""label"": ""09.09"", ""price"": 11640}, {""label"": ""09.16"", ""price"": 11640}, {""label"": ""09.23"", ""price"": 11640}, {""label"": ""09.30"", ""price"": 11620}, {""label"": ""10.07"", ""price"": 11250}, {""label"": ""10.14"", ""price"": 11500}, {""label"": ""10.21"", ""price"": 11500}, {""label"": ""10.28"", ""price"": 20000}, {""label"": ""11.04"", ""price"": 20000}, {""label"": ""11.11"", ""price"": 20000}, {""label"": ""현재"", ""price"": 22990}], ""6"": [{""label"": ""25.06"", ""price"": 11620}, {""label"": ""25.07"", ""price"": 11750}, {""label"": ""25.08"", ""price"": 11640}, {""label"": ""25.09"", ""price"": 11620}, {""label"": ""25.10"", ""price"": 11250}, {""label"": ""25.11"", ""price"": 20000}, {""label"": ""현재"", ""price"": 22990}], ""12"": [{""label"": ""24.12"", ""price"": 10880}, {""label"": ""25.01"", ""price"": 11130}, {""label"": ""25.02"", ""price"": 11610}, {""label"": ""25.03"", ""price"": 11380}, {""label"": ""25.04"", ""price"": 11440}, {""label"": ""25.05"", ""price"": 11620}, {""label"": ""25.06"", ""price"": 11620}, {""label"": ""25.07"", ""price"": 11750}, {""label"": ""25.08"", ""price"": 11640}, {""label"": ""25.09"", ""price"": 11620}, {""label"": ""25.10"", ""price"": 11250}, {""label"": ""25.11"", ""price"": 20000}, {""label"": ""현재"", ""price"": 22990}], ""24"": [{""label"": ""24.01"", ""price"": 11570}, {""label"": ""24.02"", ""price"": 11620}, {""label"": ""24.03"", ""price"": 11740}, {""label"": ""24.04"", ""price"": 11700}, {""label"": ""24.05"", ""price"": 11700}, {""label"": ""24.06"", ""price"": 11690}, {""label"": ""24.07"", ""price"": 11620}, {""label"": ""24.08"", ""price"": 11630}, {""label"": ""24.09"", ""price"": 11630}, {""label"": ""24.10"", ""price"": 11510}, {""label"": ""24.11"", ""price"": 11740}, {""label"": ""24.12"", ""price"": 10880}, {""label"": ""25.01"", ""price"": 11130}, {""label"": ""25.02"", ""price"": 11610}, {""label"": ""25.03"", ""price"": 11380}, {""label"": ""25.04"", ""price"": 11440}, {""label"": ""25.05"", ""price"": 11620}, {""label"": ""25.06"", ""price"": 11620}, {""label"": ""25.07"", ""price"": 11750}, {""label"": ""25.08"", ""price"": 11640}, {""label"": ""25.09"", ""price"": 11620}, {""label"": ""25.10"", ""price"": 11250}, {""label"": ""25.11"", ""price"": 20000}, {""label"": ""현재"", ""price"": 22990}]}","제조회사:대원미디어/7~8세부터:8세이상/인증:적합성평가인증,안전확인인증/등록년월일:2019년 11월"
영실업 베이블레이드X BX-02 헬즈 사이드 4-60T : 다나와 가격비교,https://prod.danawa.com/info/?pcode=29874206&cate=16249262,https://img.danawa.com/prod_img/500000/206/874/img/29874206_1.jpg?shrink=330:*&_v=20250415185603,9900,17420,"{""1"": [{""label"": ""25.10.21"", ""price"": 12530}, {""label"": ""25.10.28"", ""price"": 9900}, {""label"": ""25.11.04"", ""price"": 9900}, {""label"": ""25.11.11"", ""price"": 9900}, {""label"": ""현재"", ""price"": 9900}], ""3"": [{""label"": ""08.26"", ""price"": 11260}, {""label"": ""09.02"", ""price"": 12750}, {""label"": ""09.09"", ""price"": 12720}, {""label"": ""09.16"", ""price"": 12720}, {""label"": ""09.23"", ""price"": 12630}, {""label"": ""09.30"", ""price"": 12630}, {""label"": ""10.07"", ""price"": 12750}, {""label"": ""10.14"", ""price"": 12530}, {""label"": ""10.21"", ""price"": 12530}, {""label"": ""10.28"", ""price"": 9900}, {""label"": ""11.04"", ""price"": 9900}, {""label"": ""11.11"", ""price"": 9900}, {""label"": ""현재"", ""price"": 9900}], ""6"": [{""label"": ""25.06"", ""price"": 11260}, {""label"": ""25.07"", ""price"": 11000}, {""label"": ""25.08"", ""price"": 11260}, {""label"": ""25.09"", ""price"": 12630}, {""label"": ""25.10"", ""price"": 9900}, {""label"": ""25.11"", ""price"": 9900}, {""label"": ""현재"", ""price"": 9900}], ""12"": [{""label"": ""24.12"", ""price"": 10370}, {""label"": ""25.01"", ""price"": 10476}, {""label"": ""25.02"", ""price"": 11090}, {""label"": ""25.03"", ""price"": 10244}, {""label"": ""25.04"", ""price"": 10244}, {""label"": ""25.05"", ""price"": 11260}, {""label"": ""25.06"", ""price"": 11260}, {""label"": ""25.07"", ""price"": 11000}, {""label"": ""25.08"", ""price"": 11260}, {""label"": ""25.09"", ""price"": 12630}, {""label"": ""25.10"", ""price"": 9900}, {""label"": ""25.11"", ""price"": 9900}, {""label"": ""현재"", ""price"": 9900}], ""24"": [{""label"": ""24.01"", ""price"": 10500}, {""label"": ""24.02"", ""price"": 10580}, {""label"": ""24.03"", ""price"": 10580}, {""label"": ""24.04"", ""price"": 10580}, {""label"": ""24.05"", ""price"": 11040}, {""label"": ""24.06"", ""price"": 11300}, {""label"": ""24.07"", ""price"": 11310}, {""label"": ""24.08"", ""price"": 12023}, {""label"": ""24.09"", ""price"": 11180}, {""label"": ""24.10"", ""price"": 10970}, {""label"": ""24.11"", ""price"": 10709}, {""label"": ""24.12"", ""price"": 10268}, {""label"": ""25.01"", ""price"": 10476}, {""label"": ""25.02"", ""price"": 11090}, {""label"": ""25.03"", ""price"": 10244}, {""label"": ""25.04"", ""price"": 10244}, {""label"": ""25.05"", ""price"": 11260}, {""label"": ""25.06"", ""price"": 11260}, {""label"": ""25.07"", ""price"": 11000}, {""label"": ""25.08"", ""price"": 11260}, {""label"": ""25.09"", ""price"": 12630}, {""label"": ""25.10"", ""price"": 9900}, {""label"": ""25.11"", ""price"": 9900}, {""label"": ""현재"", ""price"": 9900}]}","제조회사:영실업/5~6세부터:6세이상/구성:블레이드,래칫,비트,와인더,와인더런처,설명서,카드/인증:적합성평가인증,안전확인인증/등록년월일:2023년 11월"
